               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.016828,           0.0078556,                   0,             0.99987,                   1,               0.995,             0.81329,           0.0053224,           0.0024083,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.016926,           0.0082289,                   0,             0.99921,                   1,               0.995,             0.80107,           0.0054166,           0.0024021,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.016479,           0.0084894,                   0,             0.99937,                   1,               0.995,             0.83462,            0.004772,           0.0023157,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.015893,           0.0080621,                   0,             0.99945,                   1,               0.995,             0.83504,           0.0044753,           0.0023538,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.014173,           0.0079803,                   0,             0.99956,                   1,               0.995,             0.82231,           0.0050032,           0.0023849,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.019817,           0.0081723,                   0,             0.99962,                   1,               0.995,             0.83865,           0.0048033,           0.0022512,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.015455,           0.0082239,                   0,              0.9995,                   1,               0.995,             0.82434,           0.0050044,           0.0023285,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.016876,           0.0085315,                   0,             0.99956,                   1,               0.995,             0.84054,           0.0046403,           0.0023458,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.015159,           0.0079637,                   0,             0.99954,                   1,               0.995,             0.84031,           0.0048227,           0.0022004,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.015829,           0.0081827,                   0,             0.99962,                   1,               0.995,             0.82321,           0.0047839,           0.0023037,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.013422,           0.0077173,                   0,             0.99954,                   1,               0.995,             0.83137,           0.0049405,           0.0023062,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.016037,           0.0078207,                   0,             0.99981,                   1,               0.995,             0.84092,           0.0045432,           0.0023571,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.014928,           0.0076523,                   0,                   1,             0.99996,               0.995,             0.84014,           0.0045782,           0.0024083,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.014646,           0.0079831,                   0,             0.99965,                   1,               0.995,             0.80034,           0.0052891,           0.0024288,                   0,            0.007954,            0.007954,            0.007954
